0.17	0.7383333	0.486	0.2786667	0.139
0.2	0.889	0.7076667	0.4873333	0.29
0.35	1	1	0.9953333	0.983
0.47	1	1	1	1
0.28	0.997	0.9816667	0.925	0.815
0.48	1	1	1	1
0.05	0.05433333	0.01166667	0.001	0
0.3	1	0.9916667	0.963	0.899
0.21	0.9156667	0.7703333	0.5663333	0.3536667
0.33	0.9993333	0.997	0.9896667	0.9656667
0.45	1	1	1	1
0.11	0.3163333	0.1236667	0.048	0.01433333
0.42	1	1	1	1
0.43	1	1	1	1
0.29	0.9986667	0.9843333	0.946	0.8586667
0.5	1	1	1	1
0.16	0.669	0.4106667	0.2183333	0.102
0.24	0.969	0.8893333	0.7583333	0.5773333
0.36	1	1	0.9983333	0.992
0.31	0.9996667	0.9956667	0.9746667	0.9233333
0.34	0.9996667	0.9986667	0.9936667	0.9783333
0.25	0.9846667	0.9343333	0.8266667	0.6583333
0.49	1	1	1	1
0.12	0.3713333	0.1616667	0.063	0.021
0.27	0.9936667	0.9736667	0.9066667	0.775
0.39	1	1	0.9996667	0.9976667
0.22	0.9423333	0.8156667	0.633	0.4106667
0.37	1	0.9996667	0.998	0.9943333
0.44	1	1	1	1
0.06	0.07	0.01733333	0.004333333	0
0.23	0.9626667	0.8696667	0.7096667	0.5013333
0.38	1	1	1	0.998
0.32	0.9996667	0.9976667	0.9856667	0.9506667
0.13	0.447	0.206	0.09266667	0.034
0.46	1	1	1	1
0.19	0.8386667	0.6233333	0.4223333	0.2433333
0.18	0.7956667	0.5566667	0.3473333	0.1813333
0.1	0.2393333	0.08233333	0.028	0.006333333
0.07	0.108	0.02666667	0.008	0.001666667
0.08	0.1306667	0.03366667	0.009	0.002
0.14	0.516	0.2686667	0.122	0.043
0.4	1	1	1	0.9993333
0.26	0.9896667	0.9473333	0.8486667	0.685
0.09	0.191	0.05866667	0.01833333	0.003666667
0.15	0.6033333	0.3426667	0.1796667	0.078
0.41	1	0.9996667	0.9993333	0.9986667
