0.1	0.3046667	0.1163333	0.03166667	0.009666667
0.34	1	1	0.9956667	0.979
0.11	0.37	0.1476667	0.04133333	0.01333333
0.33	1	0.9996667	0.9933333	0.969
0.23	0.9783333	0.9053333	0.7496667	0.537
0.18	0.8616667	0.6503333	0.3926667	0.2023333
0.16	0.7456667	0.4883333	0.2576667	0.1093333
0.25	0.9923333	0.963	0.8596667	0.668
0.06	0.08466667	0.01833333	0.003	0.0006666667
0.19	0.9056667	0.7236667	0.4743333	0.255
0.27	0.9963333	0.9863333	0.9286667	0.7973333
0.37	1	1	0.9996667	0.9963333
0.47	1	1	1	1
0.24	0.988	0.936	0.807	0.604
0.35	0.9996667	0.9996667	0.9986667	0.9863333
0.32	1	0.9986667	0.99	0.958
0.15	0.69	0.4213333	0.1906667	0.07066667
0.09	0.227	0.07266667	0.01966667	0.004333333
0.43	1	1	1	1
0.22	0.9733333	0.8876667	0.7026667	0.4636667
0.45	1	1	1	1
0.13	0.5213333	0.2596667	0.1016667	0.03166667
0.07	0.1196667	0.02833333	0.006333333	0.0006666667
0.36	1	1	0.998	0.991
0.38	1	1	0.9993333	0.997
0.48	1	1	1	1
0.31	1	0.9983333	0.986	0.9406667
0.08	0.186	0.055	0.01133333	0.002
0.44	1	1	1	1
0.28	0.9986667	0.99	0.9516667	0.848
0.26	0.9943333	0.973	0.8983333	0.743
0.5	1	1	1	1
0.05	0.04933333	0.009333333	0.001666667	0.0006666667
0.39	1	1	1	0.998
0.21	0.9513333	0.833	0.6056667	0.363
0.2	0.9206667	0.762	0.5316667	0.318
0.29	1	0.996	0.971	0.8836667
0.49	1	1	1	1
0.42	1	1	1	1
0.12	0.454	0.2146667	0.07366667	0.01866667
0.14	0.62	0.344	0.1493333	0.05
0.17	0.821	0.5786667	0.3346667	0.1516667
0.46	1	1	1	1
0.3	1	0.9956667	0.979	0.9136667
0.41	1	1	1	0.9996667
0.4	1	1	1	0.999
