0.09	0.3863333	0.1773333	0.075	0.02533333
0.13	0.757	0.5226667	0.3273333	0.1763333
0.3	1	1	1	1
0.19	0.985	0.9406667	0.8496667	0.7106667
0.14	0.826	0.628	0.431	0.2616667
0.08	0.297	0.1336667	0.055	0.01933333
0.12	0.667	0.44	0.2593333	0.14
0.24	0.9996667	0.997	0.987	0.9653333
0.28	1	1	1	0.997
0.1	0.477	0.2673333	0.1233333	0.05666667
0.26	1	0.9993333	0.997	0.9903333
0.25	1	0.998	0.992	0.9743333
0.15	0.87	0.712	0.5146667	0.338
0.18	0.9746667	0.9103333	0.7943333	0.6413333
0.06	0.1363333	0.04366667	0.01333333	0.005333333
0.23	0.9986667	0.9943333	0.9793333	0.9313333
0.29	1	1	1	0.9983333
0.07	0.2273333	0.08566667	0.02733333	0.009333333
0.05	0.1016667	0.033	0.009	0.003333333
0.27	1	1	0.9986667	0.9926667
0.2	0.993	0.9583333	0.8933333	0.7873333
0.21	0.994	0.9776667	0.9286667	0.844
0.16	0.9216667	0.7866667	0.617	0.4343333
0.17	0.9533333	0.864	0.7173333	0.535
0.22	0.9976667	0.99	0.9603333	0.8916667
0.11	0.5733333	0.3393333	0.182	0.08166667
