0.12	0.2953333	0.1153333	0.03733333	0.01333333
0.105	0.2186667	0.074	0.02266667	0.003666667
0.125	0.3163333	0.137	0.04633333	0.01366667
0.135	0.3913333	0.177	0.077	0.02333333
0.11	0.238	0.085	0.02866667	0.01033333
0.13	0.359	0.155	0.05266667	0.01733333
0.145	0.4813333	0.231	0.103	0.038
0.14	0.4286667	0.1973333	0.07566667	0.02966667
0.1	0.18	0.06266667	0.01766667	0.004666667
0.115	0.2663333	0.098	0.03	0.008
0.17	0.65	0.387	0.1996667	0.085
0.155	0.5496667	0.3013333	0.139	0.05833333
0.165	0.611	0.3473333	0.1703333	0.08033333
0.195	0.7876667	0.5623333	0.3446667	0.1916667
0.185	0.7383333	0.4916667	0.2873333	0.1523333
0.18	0.7093333	0.4633333	0.2666667	0.1306667
0.175	0.687	0.4213333	0.224	0.1116667
0.19	0.7673333	0.529	0.314	0.1593333
0.15	0.5086667	0.264	0.1173333	0.04766667
0.16	0.558	0.317	0.148	0.06166667
0.215	0.8863333	0.7056667	0.4976667	0.3113333
0.2	0.829	0.6206667	0.3846667	0.2216667
0.24	0.955	0.8553333	0.686	0.487
0.235	0.9446667	0.8166667	0.6403333	0.4563333
0.225	0.9236667	0.7856667	0.5876667	0.3736667
0.205	0.8486667	0.6366667	0.4276667	0.2513333
0.22	0.9043333	0.738	0.5226667	0.3386667
0.21	0.868	0.6716667	0.47	0.2766667
0.245	0.9563333	0.8643333	0.7053333	0.519
0.23	0.9363333	0.7966667	0.601	0.4066667
0.255	0.9726667	0.9	0.7583333	0.5893333
0.265	0.9776667	0.9276667	0.8206667	0.6733333
0.25	0.9613333	0.8736667	0.7243333	0.5453333
0.27	0.983	0.9416667	0.841	0.7023333
0.28	0.9916667	0.961	0.8863333	0.764
0.29	0.9946667	0.973	0.9136667	0.8083333
0.295	0.9966667	0.98	0.929	0.8353333
0.275	0.9883333	0.953	0.863	0.7256667
0.26	0.9843333	0.9216667	0.805	0.6406667
0.285	0.995	0.969	0.8993333	0.7726667
0.305	0.997	0.988	0.9543333	0.8893333
0.32	0.9996667	0.994	0.9726667	0.9206667
0.345	1	0.9986667	0.9916667	0.971
0.33	0.9996667	0.996	0.9833333	0.9473333
0.325	1	0.9953333	0.9756667	0.933
0.315	0.999	0.9916667	0.972	0.9203333
0.3	0.9966667	0.9876667	0.9473333	0.853
0.34	1	0.9993333	0.9903333	0.9653333
0.335	0.9996667	0.9963333	0.983	0.9506667
0.31	0.998	0.9876667	0.9596667	0.8973333
0.385	1	1	0.9996667	0.9973333
0.375	1	0.9986667	0.9966667	0.9926667
0.36	1	0.9983333	0.996	0.9873333
0.38	1	1	0.9983333	0.995
0.395	1	1	0.9996667	0.9976667
0.39	1	1	0.999	0.9963333
0.35	1	0.9993333	0.9936667	0.9723333
0.365	1	0.9996667	0.9943333	0.9856667
0.37	1	0.9993333	0.998	0.9916667
0.355	1	0.9996667	0.9953333	0.9796667
0.4	1	1	0.9996667	0.998
